timestamp;src_ip;dst_ip;src_port;dst_port;protocol;attack_type;user;status;error_message;geo_location;session_hash
2024-06-22T22:54:52;10.71.49.226;238.135.22.115;;;ICMP;Port Scanning;root;Falhou;Rate Limit Exceeded;São Paulo, Brasil;6a11403
2024-01-09T08:37:06;34.236.170.185;217.31.99.120;22;3306;TCP;Exploração de Vulnerabilidade;admin;Falhou;403 Forbidden;São Paulo, Brasil;f8c1131
2024-04-17T07:41:23;148.80.10.227;189.193.175.210;53;67;UDP;DDoS;admin;Falhou;Rate Limit Exceeded;São Paulo, Brasil;21b985b
2024-08-11T02:41:04;154.20.61.202;25.224.175.244;22;80;TCP;Brute Force;guest;Falhou;Rate Limit Exceeded;Berlin, Alemanha;1c712111
2024-06-05T08:32:43;60.145.217.81;252.240.208.204;;;ICMP;DDoS;root;Sucesso;;Paris, França;99812d7
2024-07-17T23:43:32;99.119.237.208;157.200.154.129;;;ICMP;DDoS;root;Falhou;Invalid Password;Paris, França;1a07114f
2024-03-08T23:15:58;236.184.231.34;82.149.214.188;3306;8080;TCP;Brute Force;root;Sucesso;;Berlin, Alemanha;1d74c13
2024-10-25T21:57:33;120.8.253.178;114.50.225.86;161;68;UDP;DDoS;guest;Falhou;Access Denied;Tokyo, Japão;1aec20a6
2024-01-23T04:46:52;195.124.43.214;22.85.186.94;443;8080;TCP;Brute Force;guest;Falhou;Rate Limit Exceeded;Tokyo, Japão;21e5260f
2024-06-02T08:32:33;84.1.29.196;42.136.182.171;;;ICMP;DDoS;admin;Falhou;Access Denied;Paris, França;1588725
2024-10-02T16:14:45;237.184.26.208;76.130.148.240;;;ICMP;Port Scanning;admin;Falhou;Invalid Password;New York, USA;59ebcf
2024-09-01T02:03:19;56.7.228.4;34.120.61.187;;;ICMP;Port Scanning;root;Falhou;Rate Limit Exceeded;Paris, França;48c64f
2024-05-24T12:51:41;47.194.195.147;232.72.111.196;69;67;UDP;Exploração de Vulnerabilidade;root;Falhou;Access Denied;New York, USA;16fa2644
2024-06-08T16:40:43;152.149.189.121;122.7.184.243;;;ICMP;Port Scanning;root;Falhou;Rate Limit Exceeded;New York, USA;21d31336
2024-05-20T03:16:13;121.61.114.6;88.108.173.208;;;ICMP;Port Scanning;root;Falhou;Access Denied;Tokyo, Japão;1b041adc
2024-03-01T23:32:47;186.84.63.20;59.152.230.190;80;443;TCP;Brute Force;admin;Sucesso;;São Paulo, Brasil;1d511e94
2024-02-23T01:11:35;213.189.154.58;39.135.26.121;;;ICMP;Port Scanning;root;Sucesso;;Paris, França;15c4af5
2024-03-15T22:35:31;37.181.16.29;142.30.174.174;;;ICMP;Port Scanning;root;Sucesso;;Berlin, Alemanha;124bdd7
2024-06-30T18:03:11;136.50.142.70;54.232.84.200;69;69;UDP;Exploração de Vulnerabilidade;root;Falhou;Access Denied;Paris, França;c6f2659
2024-07-05T06:44:50;182.11.123.242;73.174.68.191;3306;3306;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;São Paulo, Brasil;1635d31
2024-05-20T01:09:54;177.25.171.232;17.100.98.54;8080;22;TCP;Exploração de Vulnerabilidade;admin;Sucesso;;Paris, França;2582210f
2024-07-09T22:06:15;113.99.165.132;229.15.74.47;443;80;TCP;Brute Force;root;Sucesso;;Tokyo, Japão;23a19bd
2024-02-13T16:01:19;14.73.186.132;91.70.39.45;;;ICMP;Port Scanning;root;Sucesso;;Tokyo, Japão;220919cf
2024-04-11T02:27:57;150.229.195.56;253.242.33.197;69;53;UDP;Exploração de Vulnerabilidade;root;Falhou;403 Forbidden;Paris, França;175f18be
2024-04-10T15:21:49;64.88.224.28;43.40.91.14;80;3306;TCP;Exploração de Vulnerabilidade;root;Sucesso;;Tokyo, Japão;24af7f9
2024-09-10T20:03:02;28.116.232.145;52.196.38.43;8080;22;TCP;Exploração de Vulnerabilidade;root;Sucesso;;Paris, França;c0fbfd
2024-07-13T08:48:59;14.98.66.90;68.239.9.250;8080;8080;TCP;Brute Force;admin;Falhou;Rate Limit Exceeded;Berlin, Alemanha;146a16da
2024-05-26T15:21:13;222.118.224.163;220.123.152.23;22;3306;TCP;Exploração de Vulnerabilidade;admin;Falhou;403 Forbidden;Tokyo, Japão;257022ab
2024-10-22T23:59:30;99.227.132.47;150.233.177.33;;;ICMP;DDoS;guest;Falhou;Rate Limit Exceeded;Tokyo, Japão;eb81aa0
2024-05-03T02:22:44;98.51.139.172;232.75.160.91;;;ICMP;Port Scanning;root;Falhou;Access Denied;São Paulo, Brasil;209226b7
2024-03-20T16:19:29;81.56.175.5;4.223.163.144;;;ICMP;Port Scanning;root;Sucesso;;Paris, França;8351422
2024-06-21T08:54:10;208.72.104.252;176.137.175.164;68;67;UDP;DDoS;guest;Sucesso;;Paris, França;26c21733
2024-07-21T00:00:30;134.123.152.242;44.10.112.180;;;ICMP;DDoS;admin;Sucesso;;Paris, França;7751fbe
2024-08-28T21:27:54;128.26.173.51;23.50.169.47;161;68;UDP;DDoS;admin;Sucesso;;Tokyo, Japão;10c6dbd
2024-10-02T05:37:19;106.88.143.19;104.74.78.183;69;53;UDP;Exploração de Vulnerabilidade;root;Falhou;Invalid Password;Tokyo, Japão;94c50c
2024-01-05T05:09:47;190.104.222.29;125.116.135.195;80;22;TCP;Exploração de Vulnerabilidade;root;Sucesso;;Tokyo, Japão;103154d
2024-10-03T04:12:52;13.182.191.62;198.65.67.198;68;161;UDP;DDoS;admin;Falhou;Invalid Password;Berlin, Alemanha;f482687
2024-10-28T23:21:10;137.92.234.122;150.83.120.75;68;69;UDP;Exploração de Vulnerabilidade;admin;Falhou;403 Forbidden;New York, USA;cfd503
2024-07-01T05:46:33;136.74.207.249;100.135.27.186;3306;22;TCP;Exploração de Vulnerabilidade;guest;Falhou;403 Forbidden;Tokyo, Japão;1c4d1c0f
2024-02-14T12:54:45;108.96.60.247;189.44.96.23;8080;3306;TCP;Brute Force;root;Sucesso;;Paris, França;23a32541
2024-05-10T03:22:26;204.165.132.163;36.215.106.137;53;161;UDP;Exploração de Vulnerabilidade;root;Falhou;Access Denied;Tokyo, Japão;2117e04
2024-08-10T12:56:11;40.173.203.20;77.249.204.234;8080;80;TCP;Exploração de Vulnerabilidade;guest;Sucesso;;São Paulo, Brasil;15741e1a
2024-01-21T10:35:55;93.194.129.149;187.101.186.51;22;3306;TCP;Exploração de Vulnerabilidade;guest;Sucesso;;Berlin, Alemanha;161923be
2024-09-19T15:43:23;143.175.8.37;109.77.152.195;;;ICMP;DDoS;guest;Falhou;Rate Limit Exceeded;São Paulo, Brasil;24b120ff
2024-04-08T23:54:29;241.30.74.89;100.37.70.84;67;53;UDP;Exploração de Vulnerabilidade;admin;Falhou;Invalid Password;Tokyo, Japão;17b8829
2024-05-14T21:13:54;136.63.119.125;252.149.116.237;53;67;UDP;DDoS;root;Sucesso;;New York, USA;188ad3b
2024-01-20T05:38:34;236.158.147.41;130.215.125.218;161;161;UDP;DDoS;admin;Sucesso;;Berlin, Alemanha;70bac7
2024-02-08T10:06:25;160.21.222.183;201.66.67.83;67;53;UDP;Exploração de Vulnerabilidade;admin;Sucesso;;New York, USA;83d2617
2024-06-07T00:21:26;40.48.168.197;241.151.37.204;67;53;UDP;DDoS;guest;Falhou;Rate Limit Exceeded;São Paulo, Brasil;12072164
2024-07-21T20:01:19;100.177.53.79;101.97.211.210;22;80;TCP;Exploração de Vulnerabilidade;root;Falhou;Invalid Password;New York, USA;5f31b74
2024-07-28T05:28:59;161.209.88.32;1.246.104.166;3306;8080;TCP;Brute Force;root;Sucesso;;Berlin, Alemanha;1ea282d
2024-02-14T12:57:30;142.33.82.48;253.196.110.193;;;ICMP;DDoS;root;Falhou;Access Denied;Berlin, Alemanha;7fc1b1d
2024-03-23T02:22:01;126.27.106.10;134.93.185.73;3306;3306;TCP;Exploração de Vulnerabilidade;root;Sucesso;;Tokyo, Japão;175b1984
2024-03-21T20:05:11;204.12.126.184;73.39.84.44;68;67;UDP;Exploração de Vulnerabilidade;guest;Sucesso;;Tokyo, Japão;25101d32
2024-05-29T07:16:27;221.199.174.35;136.26.219.246;80;3306;TCP;Brute Force;guest;Falhou;Rate Limit Exceeded;Berlin, Alemanha;aa2182a
2024-04-07T15:51:34;160.201.83.157;174.251.103.164;67;67;UDP;Exploração de Vulnerabilidade;admin;Falhou;Rate Limit Exceeded;Paris, França;55d1749
2024-01-03T21:24:04;155.156.232.162;72.163.35.102;;;ICMP;DDoS;admin;Sucesso;;Berlin, Alemanha;e7a6d1
2024-04-10T22:54:39;3.115.134.205;2.243.211.63;67;69;UDP;Exploração de Vulnerabilidade;admin;Sucesso;;New York, USA;1f9223d1
2024-10-14T04:40:19;166.102.156.116;136.178.6.226;;;ICMP;DDoS;root;Sucesso;;São Paulo, Brasil;4742300
2024-08-26T21:50:58;74.38.154.221;210.172.254.121;;;ICMP;Port Scanning;guest;Sucesso;;São Paulo, Brasil;1dad18cb
2024-05-29T01:39:49;90.40.63.125;76.191.9.246;68;69;UDP;DDoS;root;Sucesso;;Paris, França;1911d09
2024-05-19T21:26:26;200.39.2.41;232.12.56.253;80;80;TCP;Exploração de Vulnerabilidade;guest;Sucesso;;São Paulo, Brasil;23ff1826
2024-10-22T12:39:55;138.23.202.223;91.240.128.200;8080;8080;TCP;Exploração de Vulnerabilidade;root;Falhou;403 Forbidden;Berlin, Alemanha;f51caa
2024-03-16T23:46:28;171.205.195.255;85.60.223.220;80;8080;TCP;Brute Force;guest;Sucesso;;New York, USA;1505eee
2024-05-31T21:20:42;180.45.9.71;67.201.207.198;22;3306;TCP;Brute Force;root;Sucesso;;New York, USA;f7ec23
2024-10-03T09:22:33;186.123.57.205;136.200.232.140;443;80;TCP;Brute Force;root;Sucesso;;Tokyo, Japão;15761026
2024-01-29T18:43:51;52.48.252.24;94.46.146.254;68;69;UDP;DDoS;root;Sucesso;;Berlin, Alemanha;1997bf5
2024-01-22T20:23:56;72.19.23.192;211.64.57.87;69;67;UDP;DDoS;admin;Sucesso;;Berlin, Alemanha;b1e2617
2024-02-28T23:55:38;131.231.123.191;169.128.232.173;443;3306;TCP;Exploração de Vulnerabilidade;root;Sucesso;;New York, USA;20651efe
2024-02-22T23:27:47;44.65.48.66;60.77.43.41;80;443;TCP;Brute Force;admin;Falhou;Rate Limit Exceeded;New York, USA;1a011642
2024-10-19T00:24:29;132.196.122.61;189.112.153.34;;;ICMP;DDoS;guest;Falhou;Access Denied;New York, USA;1199150a
2024-05-04T19:47:35;138.96.95.2;111.175.98.16;;;ICMP;DDoS;root;Sucesso;;Berlin, Alemanha;b981b68
2024-04-19T23:01:40;111.243.219.243;25.168.34.171;68;161;UDP;DDoS;root;Falhou;Rate Limit Exceeded;Tokyo, Japão;102323de
2024-04-04T19:55:51;157.155.15.80;23.145.106.209;53;161;UDP;DDoS;guest;Falhou;403 Forbidden;São Paulo, Brasil;1d17832
2024-01-02T07:50:01;113.57.247.249;70.240.111.75;69;161;UDP;DDoS;root;Sucesso;;Tokyo, Japão;174cbee
2024-02-03T09:59:55;12.84.58.235;36.177.231.3;443;3306;TCP;Brute Force;guest;Falhou;Rate Limit Exceeded;New York, USA;49a4f0
2024-02-21T02:48:50;20.42.59.53;153.107.68.130;;;ICMP;DDoS;guest;Falhou;Rate Limit Exceeded;Paris, França;10d8218b
2024-02-14T03:45:28;89.213.152.226;32.29.223.48;69;67;UDP;Exploração de Vulnerabilidade;guest;Sucesso;;Berlin, Alemanha;7411f65
2024-02-11T18:55:20;63.167.99.19;123.4.253.103;69;69;UDP;Exploração de Vulnerabilidade;root;Sucesso;;Tokyo, Japão;1bbc13d9
2024-09-12T23:32:14;166.18.89.63;241.17.92.254;;;ICMP;Port Scanning;guest;Falhou;Rate Limit Exceeded;New York, USA;13861a57
2024-05-05T02:12:14;108.140.122.216;44.140.95.21;;;ICMP;DDoS;root;Sucesso;;São Paulo, Brasil;f511f6c
2024-10-23T07:06:57;113.58.235.218;182.103.157.34;;;ICMP;Port Scanning;guest;Sucesso;;Tokyo, Japão;b072140
2024-08-28T00:31:11;23.43.131.29;36.74.161.25;80;22;TCP;Brute Force;root;Sucesso;;New York, USA;1996f3a
2024-06-23T08:56:59;113.25.114.223;246.243.40.218;3306;443;TCP;Exploração de Vulnerabilidade;admin;Falhou;403 Forbidden;New York, USA;cfd7ab
2024-01-02T19:14:27;47.3.92.183;28.68.190.35;3306;80;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;Berlin, Alemanha;1b1e1fa9
2024-06-26T03:02:08;152.192.30.149;102.14.125.192;68;68;UDP;Exploração de Vulnerabilidade;guest;Falhou;403 Forbidden;New York, USA;afca9a
2024-06-15T07:21:51;145.40.235.145;155.95.254.17;;;ICMP;Port Scanning;root;Sucesso;;Tokyo, Japão;203413ae
2024-04-10T03:51:39;251.85.206.185;228.85.174.219;161;68;UDP;Exploração de Vulnerabilidade;admin;Falhou;Rate Limit Exceeded;Paris, França;67890c
2024-06-24T12:18:22;6.215.58.73;18.249.209.75;8080;3306;TCP;Exploração de Vulnerabilidade;admin;Falhou;403 Forbidden;New York, USA;21f51671
2024-01-04T12:52:05;95.131.230.138;101.47.138.82;161;67;UDP;DDoS;root;Sucesso;;New York, USA;fd3f59
2024-01-18T21:09:36;130.62.137.167;88.128.45.218;3306;80;TCP;Brute Force;guest;Sucesso;;New York, USA;ef522a2
2024-08-06T18:13:26;226.60.183.189;202.57.100.240;;;ICMP;Port Scanning;root;Sucesso;;Berlin, Alemanha;2220204a
2024-02-17T06:32:39;119.59.54.194;188.66.247.108;22;22;TCP;Exploração de Vulnerabilidade;admin;Sucesso;;São Paulo, Brasil;233dc96
2024-09-13T04:44:06;174.181.148.19;181.119.117.96;3306;22;TCP;Exploração de Vulnerabilidade;admin;Sucesso;;Paris, França;21052609
2024-04-10T15:32:49;18.205.129.114;81.117.18.199;443;80;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;New York, USA;c381710
2024-01-18T19:32:45;87.10.61.185;148.244.53.57;;;ICMP;DDoS;admin;Sucesso;;Tokyo, Japão;17ec746
2024-08-22T23:42:03;110.202.223.137;144.105.29.142;161;67;UDP;Exploração de Vulnerabilidade;guest;Sucesso;;São Paulo, Brasil;26d91848
2024-06-27T23:13:47;165.6.101.211;14.69.78.61;161;161;UDP;Exploração de Vulnerabilidade;admin;Sucesso;;Berlin, Alemanha;17f0787
2024-01-29T09:25:32;138.140.203.239;46.171.102.7;69;53;UDP;DDoS;root;Falhou;Rate Limit Exceeded;Paris, França;21371fb3
2024-07-18T12:38:18;118.233.128.96;183.139.146.184;8080;443;TCP;Exploração de Vulnerabilidade;root;Sucesso;;Tokyo, Japão;1d931355
2024-02-10T23:19:01;174.18.196.212;182.38.200.8;8080;3306;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;Berlin, Alemanha;11931b05
2024-09-09T23:50:12;49.120.202.6;24.123.40.92;3306;3306;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;Tokyo, Japão;1f0467b
2024-06-09T01:51:19;91.32.174.124;151.86.12.210;53;68;UDP;Exploração de Vulnerabilidade;root;Sucesso;;São Paulo, Brasil;4ca1f66
2024-04-26T20:35:13;44.215.138.63;174.25.184.202;443;8080;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;Tokyo, Japão;13ea1081
2024-04-23T08:21:47;163.18.148.152;10.108.229.31;22;3306;TCP;Brute Force;root;Sucesso;;Tokyo, Japão;245cef2
2024-08-30T04:52:13;206.6.252.85;44.124.211.84;443;8080;TCP;Brute Force;root;Sucesso;;São Paulo, Brasil;25c7260c
2024-03-06T12:06:09;249.12.138.48;6.13.36.16;68;53;UDP;DDoS;admin;Sucesso;;Paris, França;22551ecd
2024-03-14T21:49:36;10.72.148.35;73.193.39.209;80;22;TCP;Exploração de Vulnerabilidade;root;Sucesso;;New York, USA;140022ff
2024-04-30T01:59:42;8.198.209.228;224.104.235.171;53;69;UDP;Exploração de Vulnerabilidade;root;Sucesso;;New York, USA;26ac25a6
2024-07-13T16:32:28;228.65.68.182;32.206.45.132;;;ICMP;DDoS;root;Falhou;Rate Limit Exceeded;São Paulo, Brasil;1cbac73
2024-02-25T18:05:43;21.194.246.45;8.114.109.15;53;67;UDP;Exploração de Vulnerabilidade;root;Sucesso;;Tokyo, Japão;fc61625
2024-10-24T12:49:53;222.159.41.52;235.15.197.202;;;ICMP;DDoS;guest;Sucesso;;Berlin, Alemanha;1676149b
2024-02-10T12:06:11;137.234.91.204;31.10.22.129;53;161;UDP;DDoS;root;Sucesso;;São Paulo, Brasil;63c1086
2024-05-08T23:47:39;217.200.209.196;29.222.196.165;161;68;UDP;Exploração de Vulnerabilidade;admin;Falhou;Rate Limit Exceeded;Tokyo, Japão;ed0171d
2024-02-03T19:59:49;25.197.159.166;142.126.33.65;;;ICMP;Port Scanning;root;Sucesso;;São Paulo, Brasil;12a19e5
2024-01-11T07:52:28;29.64.46.6;227.200.9.241;;;ICMP;Port Scanning;root;Sucesso;;New York, USA;1de020ca
2024-02-04T01:20:56;37.169.46.30;72.87.1.50;;;ICMP;Port Scanning;admin;Falhou;Access Denied;New York, USA;1a37c96
2024-10-10T23:03:06;89.89.77.190;214.120.77.203;80;443;TCP;Exploração de Vulnerabilidade;root;Falhou;403 Forbidden;New York, USA;1f1bd03
2024-03-12T10:48:26;104.249.200.135;249.201.136.44;53;67;UDP;Exploração de Vulnerabilidade;admin;Falhou;Rate Limit Exceeded;New York, USA;8a3c94
2024-03-19T04:06:52;134.167.134.68;16.221.2.172;443;443;TCP;Exploração de Vulnerabilidade;admin;Sucesso;;Tokyo, Japão;9dcd4d
2024-05-08T23:29:57;185.197.238.254;92.241.179.103;;;ICMP;DDoS;admin;Falhou;Access Denied;Berlin, Alemanha;194c1441
2024-03-26T10:58:38;241.145.220.243;212.117.152.34;69;53;UDP;Exploração de Vulnerabilidade;guest;Sucesso;;Berlin, Alemanha;162a1092
2024-08-12T13:34:30;102.94.46.204;249.218.95.196;68;53;UDP;Exploração de Vulnerabilidade;guest;Falhou;403 Forbidden;New York, USA;cb013d5
2024-08-20T15:00:23;5.212.172.235;190.69.224.120;;;ICMP;Port Scanning;root;Falhou;Invalid Password;Berlin, Alemanha;adc1cdd
2024-01-19T16:14:23;157.87.18.11;148.106.115.122;;;ICMP;Port Scanning;admin;Falhou;Invalid Password;Tokyo, Japão;9fa238b
2024-09-25T23:53:44;13.86.189.74;22.59.146.99;8080;3306;TCP;Exploração de Vulnerabilidade;guest;Falhou;403 Forbidden;Paris, França;14d4970
2024-10-30T16:23:43;5.122.4.203;54.33.127.39;443;3306;TCP;Exploração de Vulnerabilidade;admin;Sucesso;;Berlin, Alemanha;8ae69e
2024-10-12T13:56:51;141.88.121.242;156.47.70.46;443;443;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;Berlin, Alemanha;224820e8
2024-02-24T21:30:50;12.17.85.84;204.44.102.118;443;8080;TCP;Brute Force;root;Sucesso;;New York, USA;14e3210d
2024-03-14T23:16:45;116.50.113.39;234.31.122.237;161;69;UDP;DDoS;root;Sucesso;;Paris, França;149e11f2
2024-05-11T04:45:20;41.176.24.8;255.11.164.182;;;ICMP;Port Scanning;root;Sucesso;;Tokyo, Japão;eb21c59
2024-03-21T21:29:24;27.214.213.64;127.97.207.34;161;161;UDP;DDoS;root;Sucesso;;São Paulo, Brasil;13dd1e29
2024-10-09T06:58:22;110.122.170.223;198.26.105.143;22;80;TCP;Exploração de Vulnerabilidade;guest;Sucesso;;Berlin, Alemanha;6de2445
2024-09-14T23:48:07;69.73.54.229;71.171.161.67;443;3306;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;Berlin, Alemanha;b15695
2024-08-29T05:55:57;244.214.113.173;209.2.100.43;443;8080;TCP;Brute Force;guest;Falhou;Rate Limit Exceeded;Berlin, Alemanha;6591240
2024-09-30T21:40:18;241.121.89.182;168.187.6.72;;;ICMP;Port Scanning;root;Falhou;403 Forbidden;New York, USA;25dca63
2024-03-04T21:45:38;187.184.91.225;115.30.213.144;69;69;UDP;Exploração de Vulnerabilidade;root;Falhou;403 Forbidden;New York, USA;123f118c
2024-06-17T23:33:09;176.164.206.251;250.141.79.254;3306;443;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;New York, USA;1bcd1c28
2024-08-19T03:02:10;240.136.189.116;132.123.19.182;3306;8080;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;Tokyo, Japão;21551a48
2024-02-14T07:32:19;150.160.150.52;175.66.159.48;;;ICMP;DDoS;admin;Falhou;Access Denied;Berlin, Alemanha;1c89255f
2024-01-23T12:02:12;182.169.114.229;27.187.244.251;80;22;TCP;Exploração de Vulnerabilidade;root;Sucesso;;São Paulo, Brasil;15051ca5
2024-02-07T15:24:21;78.245.16.96;168.177.250.58;;;ICMP;DDoS;admin;Falhou;403 Forbidden;Tokyo, Japão;cb01c59
2024-03-15T06:41:09;143.186.141.201;220.150.23.54;8080;22;TCP;Exploração de Vulnerabilidade;admin;Sucesso;;Paris, França;17cc1170
2024-10-25T15:27:04;87.246.196.80;183.198.240.27;80;3306;TCP;Exploração de Vulnerabilidade;root;Sucesso;;Paris, França;f0eb8d
2024-02-20T16:04:52;75.208.72.217;34.66.153.60;80;80;TCP;Brute Force;guest;Sucesso;;São Paulo, Brasil;1b922499
2024-02-25T13:49:44;101.1.163.16;97.98.238.114;80;8080;TCP;Exploração de Vulnerabilidade;root;Falhou;403 Forbidden;Paris, França;1dda429
2024-05-08T06:40:26;41.230.119.95;84.72.123.88;67;53;UDP;DDoS;root;Falhou;403 Forbidden;New York, USA;1e2cf19
2024-05-03T10:50:36;33.132.183.147;176.165.138.244;53;161;UDP;Exploração de Vulnerabilidade;guest;Sucesso;;Berlin, Alemanha;7fbcd0
2024-05-08T07:14:48;31.100.25.196;136.233.244.201;;;ICMP;DDoS;guest;Falhou;Invalid Password;Paris, França;1533b59
2024-10-10T19:43:36;122.218.113.76;205.76.36.58;53;69;UDP;DDoS;root;Falhou;Access Denied;Paris, França;1f9fd49
2024-05-18T15:20:51;151.29.70.167;75.158.18.39;8080;443;TCP;Exploração de Vulnerabilidade;root;Falhou;403 Forbidden;Tokyo, Japão;1c911df8
2024-05-30T15:37:53;55.31.55.102;56.72.23.247;;;ICMP;DDoS;admin;Falhou;Rate Limit Exceeded;Berlin, Alemanha;1200d57
2024-04-06T21:34:05;8.159.161.178;35.52.45.138;69;53;UDP;DDoS;root;Falhou;Access Denied;Paris, França;15d9218a
2024-06-09T19:06:46;143.225.246.154;130.206.141.131;;;ICMP;DDoS;root;Falhou;Invalid Password;Paris, França;be6184e
2024-04-16T00:38:36;38.64.196.132;63.140.103.152;443;3306;TCP;Exploração de Vulnerabilidade;root;Falhou;Invalid Password;New York, USA;64d1d3a
2024-03-23T00:36:44;194.91.155.185;62.70.215.69;53;69;UDP;Exploração de Vulnerabilidade;root;Sucesso;;New York, USA;115325a8
2024-06-04T23:29:57;94.44.81.202;31.114.77.52;22;22;TCP;Brute Force;root;Sucesso;;Berlin, Alemanha;183c9ce
2024-01-13T16:55:41;255.234.131.45;75.139.141.95;;;ICMP;DDoS;root;Falhou;403 Forbidden;Berlin, Alemanha;1f7a1399
2024-02-02T21:39:25;73.97.113.132;90.16.242.155;;;ICMP;Port Scanning;guest;Falhou;Rate Limit Exceeded;Berlin, Alemanha;ae82191
2024-04-10T07:49:24;224.216.184.203;103.124.22.237;;;ICMP;Port Scanning;root;Falhou;403 Forbidden;São Paulo, Brasil;18805a4
2024-05-31T08:04:06;153.163.119.207;2.202.164.219;80;22;TCP;Brute Force;root;Falhou;Rate Limit Exceeded;Paris, França;26191366
